title,company,location,link,salary,job_type,time_posted,skills,category,scraped_date,source
PYTHON DEVELOPER,Global Product Compliance Group (GPC),"Nagpur, Maharashtra, India",https://in.linkedin.com/jobs/view/python-developer-at-global-product-compliance-group-gpc-4147187275,Not specified,Not specified,6 months ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,Persistent Systems,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/python-developer-at-persistent-systems-4270321097,Not specified,Not specified,3 weeks ago,"python, go",software_development,2025-08-20,LinkedIn
Python Senior Developer,Infosys,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/python-senior-developer-at-infosys-4261295660,Not specified,Not specified,2 weeks ago,"python, go",software_development,2025-08-20,LinkedIn
Software Developer (Full Stack/Python),Halliburton,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-developer-full-stack-python-at-halliburton-4281822883,Not specified,Not specified,1 week ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,HCLTech,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-hcltech-4277313123,Not specified,Not specified,6 days ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,Capgemini,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-capgemini-4283416622,Not specified,Not specified,23 hours ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,Kotak Securities,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/python-developer-at-kotak-securities-4062750542,Not specified,Not specified,8 months ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,Persistent Systems,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-persistent-systems-4278787378,Not specified,Not specified,2 weeks ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,Persistent Systems,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/python-developer-at-persistent-systems-4281287692,Not specified,Not specified,1 week ago,"python, go",software_development,2025-08-20,LinkedIn
Python Developer,In Time Tec,"Jaipur, Rajasthan, India",https://in.linkedin.com/jobs/view/python-developer-at-in-time-tec-4275320855,Not specified,Not specified,3 weeks ago,"python, go",software_development,2025-08-20,LinkedIn
